feature,mean_shap,std_shap,feature_clean
age,0.02855350030010365,0.0025284005765903715,Age
year,0.022535057565340737,0.0037462279193179304,Publication year
design_code,0.010596387843073025,0.0027692445995256797,Study design
region_code,0.009586948218475447,0.002690639914774665,Geographic region
longitude,0.009292300976701013,0.0027500679887218415,Longitude
latitude,0.00928684454629779,0.0026519374458238284,Latitude
sex,0.008184645604845291,0.0019524568872852411,Sex (female)
pop_pregnant_women,0.006504065040650379,0.0018692236592919669,Population: Pregnant Women
nos_score,0.005647405467343232,0.0025498816447202515,Study quality (NOS score)
pop_rheumatoid_arthritis,0.003874065586293418,0.0003228067759644027,Population: Rheumatoid Arthritis
assay_code,0.0025208708462923298,0.0015681518976905192,Assay method (ELISA vs LC-MS/MS)
pop_t2dm,0.0016642112729851795,0.0011766801969184115,Population: T2Dm
pop_psychiatric_patients,0.00014186719048395007,0.00041353839300479285,Population: Psychiatric Patients
pop_women_preconception,0.00014186719048394267,0.0001877519565022722,Population: Women Preconception
pop_bph_patients,3.8195012822583865e-05,0.00011715452912959554,Population: Bph Patients
pop_liver_disease,2.1825721612904005e-05,8.166437249463846e-05,Population: Liver Disease
